Country,Cases,Daily Cases,Case Inc,3-day Case Inc, 7-day Case inc,+/- Case %, Cases per 1k,Deaths,Daily Deaths,Death Inc,3-day Death Inc, 7-day Death inc,+/- Deaths %, Deaths per 1k,Mortality,Delayed Mortality,Population 2018
BIH,257,28,10.8949,14.1176,20.6283,-6.51065,0.0773181,	5,2,40,24.4444,31.9048,-7.46032,0.00150424,	7.14286,23.8095,	3323929
BLR,94,0,0,4.77486,6.49963,-1.72477,0.00990998,	0,0,0,0,0,0,0,	0,0,	9485386
BLZ,2,0,0,16.6667,21.4286,-4.7619,0.00522096,	0,0,0,0,0,0,0,	0,0,	383071
BMU,22,5,22.7273,31.4973,23.0227,8.47466,0.343922,	0,0,0,0,0,0,0,	0,0,	63968
BOL,81,7,8.64198,26.7413,18.1745,8.56682,0.00713459,	0,0,0,0,0,0,0,	0,0,	11353142
BRA,3904,487,12.4744,17.7455,18.923,-1.17753,0.0186376,	114,22,19.2982,26.9583,28.6173,-1.65904,0.000544232,	4.51745,39.1753,	209469333
BRB,26,2,7.69231,10.8974,16.1483,-5.25082,0.0907058,	0,0,0,0,0,0,0,	0,0,	286641
BRN,120,5,4.16667,4.66011,5.92613,-1.26603,0.279745,	1,1,100,33.3333,14.2857,19.0476,0.00233121,	20,1.78571,	428962
BTN,4,1,25,19.4444,8.33333,11.1111,0.00530227,	0,0,0,0,0,0,0,	0,0,	754394
CAF,6,1,16.6667,12.2222,18.3333,-6.11111,0.00128579,	0,0,0,0,0,0,0,	0,0,	4666377
CAN,5385,697,12.9434,28.3847,21.3335,7.05118,0.145309,	60,7,11.6667,23.7318,20.3966,3.33513,0.00161905,	1.0043,10.5634,	37058856
CHE,13152,1048,7.96837,12.7694,13.3314,-0.562082,1.54429,	235,38,16.1702,28.9913,21.3145,7.67681,0.0275934,	3.62595,8.86792,	8516543
CHL,1909,299,15.6627,22.1222,19.2785,2.84371,0.101927,	6,1,16.6667,31.6667,35,-3.33333,0.000320356,	0.334448,2.98507,	18729160
CHN,77657,129,0.166115,0.212982,0.171238,0.0417442,0.0557588,	3215,5,0.155521,0.197424,0.201174,-0.00375025,0.00230842,	3.87597,4.20382,	1392730000
